"LATITUDE","LONGITUDE","NAME","STREETNUMBER","ZONE_ID","ZONE_I","SUBCODE_I"
"46.52404566399383","11.8758408705316","Passo Campolongo","SS 244",6,"Zona 6 - Val Pusteria","percorribile liberamente"
"46.72319351378471","11.969245135684906","Passo Furcia","LS/SP 43",6,"Zona 6 - Val Pusteria","limitazione al traffico"
"46.67506732009182","11.814088834302726","Passo Erbe","LS/SP 29",7,"Altri","limitazione al traffico"
"46.354557045487056","11.492672253510868","Passo Lavazé","SS 620 ",7,"Altri","limitazione al traffico"
"46.518838694398355","12.009300020204307","Passo Falzarego","SS 48 ",7,"Altri","limitazione al traffico"
"46.487522619160785","11.812299378589264","Passo Pordoi","SS 48 ",7,"Altri","percorribile liberamente"
"46.55784857684445","11.962065683401361","Passo Valparola","LS/SP 37",6,"Zona 6 - Val Pusteria","percorribile liberamente"
"46.40690701243879","11.604951240513987","Passo Costalunga","SS 241",4,"Zona 4 - Salto-Sciliar","attenzione"
"46.65584652286658","12.420294019207216","Passo Monte Croce Comelico","SS 52 ",6,"Zona 6 - Val Pusteria","percorribile liberamente"
"46.83951680084992","11.320625008750966","Passo Giovo","SS 44",2,"Zona 2 - Burgraviato","limitazione al traffico"
"46.55123906801853","11.810709207311293","Passo Gardena","SS 243",6,"Zona 6 - Val Pusteria","limitazione al traffico"
"46.514293801449824","11.766214611599302","Passo Sella","SS 242 ",4,"Zona 4 - Salto-Sciliar","limitazione al traffico"
"46.42697825274294","11.236773033416915","Passo Mendola","SS 42",3,"Zona 3 - Bolzano-Bassa Atesina","limitazione al traffico"
"46.49353249829702","11.131107180781724","Passo Palade","SS 238",7,"Altri","percorribile liberamente"
"46.88809161600816","11.126850840651468","Passo Rombo","SS 44",2,"Zona 2 - Burgraviato","limitazione al traffico"
