,codStazione,latitude,longitude,name,address
0,S02050,45.733892,10.955842,avio,"Avio, Via Generale Cantore, Avio, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38063, Italia"
1,S02051,45.696721000000004,10.927083,borghetto,"Borghetto sull'Adige, Via San Biagio, Avio, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38063, Italia"
2,S02317,46.015059,11.624984,grigno,"Grigno, Via stazione, Grigno, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38055, Italia"
3,S02037,46.148306,11.095993,lavis,"Lavis, Via Stazione, Maso Callianer, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
4,S02046,45.861216,11.002647999999999,mori,"Mori, SS240, Lizzana, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38065, Italia"
5,S02308,45.997575,11.264814999999999,caldonazzo,"Caldonazzo, Viale Trento, Costa di Brenta, Caldonazzo, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38052, Italia"
6,S02312,46.03618,11.398817999999999,roncegno bagni-marter,"Roncesco Bagni - Marter, Via Nazionale, Bazzanella, Roncegno Terme, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
7,S02309,46.005728999999995,11.30493,levico,"Levico Terme, Piazzale Stazione, Levico Terme, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38056, Italia"
8,S02035,46.207258,11.128594999999999,mezzocorona,"Mezzocorona, Piazza Trento, Mezzocorona, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38016, Italia"
9,S02305,46.062482,11.232636999999999,pergine,"Deposito Trentino Trasporti, Via Celva, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
10,S02300,46.045911,11.13906,villazzano,"Villazzano, Via Asiago, Man Sant'Antonio, Madonna Bianca, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38128, Italia"
11,S02315,46.051003,11.514327,strigno,"Strigno, Via della Stazione, Sièga, Località Penile, Castel Ivano, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38059, Italia"
12,S02049,45.760087,10.996775,ala,"Piazzale della Repubblica, Ala, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38061, Italia"
13,S02318,45.990485,11.669725999999999,tezze di grigno,"Tezze di Grigno, Strada Statale 47 della Valsugana, Belvederi di Tezze, Casa Vescovo, Grigno, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38055, Italia"
14,S02314,46.052240000000005,11.462119,borgo valsugana est,"10, Via Hippoliti, Crosetta, San Giorgio, Borgo Valsugana, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
15,S02307,46.007384,11.240713000000001,calceranica,"Calceranica, Ciclabile della Valsugana, Calceranica al Lago, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38049, Italia"
16,S02003,46.056242,11.136239999999999,trento s.chiara,"Via Asiago, Cernidor, Bolghera, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38100, Italia"
17,S02313,46.051182,11.453967,borgo valsugana centro,"Borgo Valsugana Centro, Via della Ferata, Crosetta, Stalletta, Borgo Valsugana, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
18,S02044,45.890985,11.033517999999999,rovereto,"Rovereto, Via Pedroni, San Giorgio, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
19,S02038,46.072414,11.118941,trento,"Trento, Piazzetta Filippo Foti e Edoardo Martini, Centro storico Trento, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
